nome,codigo,tipo,carga_horaria
CIÊNCIA DE DADOS N,INF01090,ELETIVA,60
DESENVOLVIMENTO DE APLICAÇÕES WEB,INF01099,ELETIVA,60
NOVAS ABORDAGENS DE BANCO DE DADOS,INF01095,ELETIVA,60
PROJETO DE BANCO DE DADOS,INF01006,ELETIVA,60
APRENDIZADO PROFUNDO,INF01092,ELETIVA,60
APRENDIZADO PROFUNDO PARA COMPUTAÇÃO VISUAL,INF01081,ELETIVA,60
INTELIGÊNCIA ARTIFICIAL AVANÇADA,INF05004,ELETIVA,60
RECUPERAÇÃO DE INFORMAÇÃO,INF01096,ELETIVA,60
ROBÓTICA MÓVEL INTELIGENTE,INF01034,ELETIVA,60
COMPUTADOR E SOCIEDADE,INF01140,ELETIVA,60
COMUNICAÇÃO DE DADOS E TECNOLOGIAS DE REDES EMERGENTES,INF01005,ELETIVA,60
LABORATÓRIO DE REDES DE COMPUTADORES,INF01082,ELETIVA,60
SEGURANÇA DE REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,INF01097,ELETIVA,60
SERVIÇOS AVANÇADOS EM REDES DE COMPUTADORES,INF01002,ELETIVA,60
MÉTODOS ÁGEIS,INF01215,ELETIVA,60
MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,INF01216,ELETIVA,60
INTRODUÇÃO AO EMPREENDEDORISMO E INOVAÇÃO,INT00003,ELETIVA,60
TESTE DE SOFTWARE,INF01214,ELETIVA,60
COMPUTAÇÃO GRÁFICA II,INF01009,ELETIVA,60
FOTOGRAFIA COMPUTACIONAL,INF01213,ELETIVA,60
REALIDADE VIRTUAL AUMENTADA E MISTA,INF01098,ELETIVA,60
PROCESSAMENTO DE IMAGENS II,INF01089,ELETIVA,60
COMPUTAÇÃO DE ALTO DESEMPENHO,INF01091,ELETIVA,60
DESAFIOS DE PROGRAMAÇÃO,INF01056,ELETIVA,60
SOFTWARE DE ALTO DESEMPENHO,INF01094,ELETIVA,60
ARQUITETURAS AVANÇADAS DE COMPUTADORES,INF01191,ELETIVA,60
